usar,otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,individualCount,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,scientificNameAuthorship,vernacularName,taxonRemarks,identifiedBy,geodeticDatum,decimalLatitude,decimalLongitude,continent,countryCode,country,stateProvince,waterBody,eventDate,locality,recordedBy,samplingProtocol,associatedSequences,agua
TRUE,,1050397,UFPA,,1,PreservedSpecimen,Other material,"Mylesinus paucisquamatus,Jégu & Santos, 1988",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,,"Jégu & Santos, 1989",Pacu,,"Andrade, M.",WGS84,-5.88555,-50.5319,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Parauapebas, Rio Itacaiúnas, Caldeirão",Marcelo Andrade,Malhadeira,,Clear
TRUE,,1050400,UFPA,,1,PreservedSpecimen,Other material,"Mylesinus paucisquamatus,Jégu & Santos, 1988",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,,"Jégu & Santos, 1990",Pacu,,"Andrade, M.",WGS84,-5.88555,-50.5319,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Parauapebas, Rio Itacaiúnas, Caldeirão",Marcelo Andrade,Malhadeira,,Clear
TRUE,,3209,UFAM,CTGA,1,,Other material,"Myloplus torquatus, Kner, 1858",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,torquatus,species,,"Kner, 1858",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,Malhadeira,,Clear
TRUE,,3210,UFAM,CTGA,1,,Other material,"Myloplus torquatus, Kner, 1858",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,torquatus,species,,"Kner, 1858",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,Malhadeira,,Clear
TRUE,,3211,UFAM,CTGA,1,,Other material,"Myloplus torquatus, Kner, 1858",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,torquatus,species,,"Kner, 1858",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,Malhadeira,,Clear
TRUE,,3319,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myloplus schomburgkii, Jardine & Schomburgk, 1841",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,,"Jardine & Schomburgk, 1841",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,Malhadeira,,Clear
TRUE,,3320,UFAM,CTGA,1,,Other material,"Myloplus schomburgkii, Jardine & Schomburgk, 1841",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,,"Jardine & Schomburgk, 1841",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,Malhadeira,,Clear
TRUE,,2756,UFAM,CTGA,1,PreservedSpecimen,Other material,"Tometes ancylorhynchus, Andrade, Jégu & Giarrizzo, 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,ancylorhynchus,species,,"Andrade, Jégu & Giarrizzo, 2016",Pacu,,"Machado, V.",WGS84,-6.14894,-48.36074,South America,BR,Brazil,Para,Araguaia,2009-09-10,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,Malhadeira,,Clear
TRUE,,2818,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,,"Muller & Troschel, 1844",Pacu,,"Zuanon, J.",WGS84,-6.14894,-48.36074,South America,BR,Brazil,Para,Araguaia,2009-09-10,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,Malhadeira,,Clear
TRUE,,3086,UFAM,CTGA,1,PreservedSpecimen,Other material,"Tometes siderocarajensis, Andrade, Machado, Jégu, Farias & Giarrizzo, 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,,"Andrade, Machado, Jégu, Farias & Giarrizzo, 2017",Pacu,,"Zuanon, J.",WGS84,-5.46001,-48.34394,South America,BR,Brazil,Tocantins,Araguaia,2009-09-14,r. Araguaia /Jusante de AHE-SI/Araguatins/TO,Natasha Verdasca,Malhadeira,,Clear
